Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
 168.000         180.000            3.463e+00          -3.860e+01              82.863           3.463e+00             294.645           4.000e+01     
 167.000         180.000            3.447e+00          -3.794e+01              83.076           3.447e+00             294.633           4.000e+01     
 166.000         180.000            3.430e+00          -3.732e+01              83.277           3.430e+00             294.620           4.000e+01     
 165.000         180.000            3.412e+00          -3.676e+01              83.469           3.412e+00             294.607           4.000e+01     
 164.000         180.000            3.393e+00          -3.623e+01              83.655           3.392e+00             294.592           4.000e+01     
 163.000         180.000            3.373e+00          -3.574e+01              83.837           3.372e+00             294.576           4.000e+01     
 162.000         180.000            3.351e+00          -3.528e+01              84.017           3.350e+00             294.559           4.000e+01     
 161.000         180.000            3.328e+00          -3.485e+01              84.197           3.328e+00             294.542           4.000e+01     
 160.000         180.000            3.304e+00          -3.445e+01              84.378           3.304e+00             294.523           4.000e+01     
 159.000         180.000            3.279e+00          -3.406e+01              84.560           3.279e+00             294.504           4.000e+01     
 158.000         180.000            3.253e+00          -3.370e+01              84.745           3.253e+00             294.484           4.000e+01     
 157.000         180.000            3.226e+00          -3.336e+01              84.932           3.225e+00             294.462           4.000e+01     
 156.000         180.000            3.198e+00          -3.304e+01              85.123           3.197e+00             294.440           4.000e+01     
 155.000         180.000            3.169e+00          -3.274e+01              85.318           3.168e+00             294.417           4.000e+01     
 154.000         180.000            3.139e+00          -3.245e+01              85.517           3.138e+00             294.393           4.000e+01     
 153.000         180.000            3.108e+00          -3.217e+01              85.721           3.107e+00             294.369           4.000e+01     
 152.000         180.000            3.077e+00          -3.191e+01              85.930           3.075e+00             294.343           4.000e+01     
 151.000         180.000            3.044e+00          -3.166e+01              86.144           3.042e+00             294.316           4.000e+01     
 150.000         180.000            3.010e+00          -3.142e+01              86.363           3.009e+00             294.289           4.000e+01     
 149.000         180.000            2.976e+00          -3.119e+01              86.588           2.974e+00             294.261           4.000e+01     
 148.000         180.000            2.940e+00          -3.098e+01              86.819           2.939e+00             294.231           4.000e+01     
 147.000         180.000            2.904e+00          -3.077e+01              87.056           2.902e+00             294.201           4.000e+01     
 146.000         180.000            2.867e+00          -3.058e+01              87.299           2.865e+00             294.170           4.000e+01     
 145.000         180.000            2.830e+00          -3.039e+01              87.548           2.828e+00             294.138           4.000e+01     
 144.000         180.000            2.792e+00          -3.021e+01              87.803           2.790e+00             294.105           4.000e+01     
 143.000         180.000            2.753e+00          -3.004e+01              88.065           2.751e+00             294.071           3.996e+01     
 142.000         180.000            2.713e+00          -2.988e+01              88.333           2.711e+00             294.036           3.985e+01     
 141.000         180.000            2.673e+00          -2.972e+01              88.608           2.671e+00             294.000           3.975e+01     
 140.000         180.000            2.633e+00          -2.957e+01              88.889           2.630e+00             293.963           3.966e+01     
 139.000         180.000            2.592e+00          -2.943e+01              89.177           2.589e+00             293.925           3.959e+01     
 138.000         180.000            2.550e+00          -2.930e+01              89.472           2.547e+00             293.886           3.952e+01     
 137.000         180.000            2.508e+00          -2.917e+01              89.773           2.505e+00             293.846           3.947e+01     
 136.000         180.000            2.466e+00          -2.904e+01              90.081           2.463e+00             293.805           3.942e+01     
