Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 111.000          90.000           -4.080e+00          -4.080e+00             309.517          -5.689e+01             187.232           4.000e+01     
 112.000          90.000           -3.709e+00          -3.709e+00             308.940          -5.698e+01             187.549           4.000e+01     
 113.000          90.000           -3.354e+00          -3.354e+00             308.413          -5.709e+01             187.883           4.000e+01     
 114.000          90.000           -3.015e+00          -3.015e+00             307.927          -5.719e+01             188.232           4.000e+01     
 115.000          90.000           -2.689e+00          -2.689e+00             307.480          -5.730e+01             188.598           4.000e+01     
 116.000          90.000           -2.377e+00          -2.377e+00             307.065          -5.741e+01             188.980           4.000e+01     
 117.000          90.000           -2.077e+00          -2.078e+00             306.680          -5.752e+01             189.379           4.000e+01     
 118.000          90.000           -1.790e+00          -1.790e+00             306.320          -5.764e+01             189.794           4.000e+01     
 119.000          90.000           -1.513e+00          -1.513e+00             305.984          -5.775e+01             190.226           4.000e+01     
 120.000          90.000           -1.247e+00          -1.247e+00             305.668          -5.787e+01             190.674           4.000e+01     
 121.000          90.000           -9.908e-01          -9.908e-01             305.370          -5.800e+01             191.139           4.000e+01     
 122.000          90.000           -7.444e-01          -7.444e-01             305.089          -5.812e+01             191.620           4.000e+01     
 123.000          90.000           -5.070e-01          -5.070e-01             304.822          -5.825e+01             192.118           4.000e+01     
 124.000          90.000           -2.784e-01          -2.784e-01             304.569          -5.838e+01             192.631           4.000e+01     
 125.000          90.000           -5.811e-02          -5.812e-02             304.327          -5.851e+01             193.160           4.000e+01     
 126.000          90.000            1.541e-01           1.541e-01             304.096          -5.865e+01             193.704           4.000e+01     
 127.000          90.000            3.587e-01           3.587e-01             303.875          -5.879e+01             194.262           4.000e+01     
 128.000          90.000            5.558e-01           5.557e-01             303.662          -5.892e+01             194.835           4.000e+01     
 129.000          90.000            7.457e-01           7.457e-01             303.456          -5.906e+01             195.421           4.000e+01     
 130.000          90.000            9.287e-01           9.286e-01             303.258          -5.921e+01             196.020           4.000e+01     
 131.000          90.000            1.105e+00           1.105e+00             303.065          -5.935e+01             196.631           4.000e+01     
 132.000          90.000            1.275e+00           1.275e+00             302.878          -5.950e+01             197.252           4.000e+01     
 133.000          90.000            1.438e+00           1.438e+00             302.696          -5.964e+01             197.882           4.000e+01     
 134.000          90.000            1.595e+00           1.595e+00             302.518          -5.979e+01             198.521           4.000e+01     
 135.000          90.000            1.747e+00           1.747e+00             302.344          -5.994e+01             199.167           4.000e+01     
 136.000          90.000            1.892e+00           1.892e+00             302.173          -6.009e+01             199.818           4.000e+01     
 137.000          90.000            2.032e+00           2.032e+00             302.006          -6.025e+01             200.473           4.000e+01     
 138.000          90.000            2.166e+00           2.166e+00             301.840          -6.040e+01             201.130           4.000e+01     
 139.000          90.000            2.294e+00           2.294e+00             301.677          -6.055e+01             201.786           4.000e+01     
 140.000          90.000            2.418e+00           2.418e+00             301.516          -6.071e+01             202.441           4.000e+01     
 141.000          90.000            2.536e+00           2.536e+00             301.357          -6.087e+01             203.091           4.000e+01     
 142.000          90.000            2.648e+00           2.648e+00             301.199          -6.102e+01             203.735           4.000e+01     
 143.000          90.000            2.756e+00           2.756e+00             301.042          -6.118e+01             204.369           4.000e+01     
 144.000          90.000            2.859e+00           2.859e+00             300.886          -6.135e+01             204.992           4.000e+01     
 145.000          90.000            2.956e+00           2.956e+00             300.730          -6.151e+01             205.600           4.000e+01     
 146.000          90.000            3.049e+00           3.049e+00             300.575          -6.167e+01             206.191           4.000e+01     
 147.000          90.000            3.137e+00           3.137e+00             300.420          -6.184e+01             206.762           4.000e+01     
 148.000          90.000            3.220e+00           3.220e+00             300.265          -6.200e+01             207.309           4.000e+01     
 149.000          90.000            3.299e+00           3.299e+00             300.110          -6.217e+01             207.829           4.000e+01     
 150.000          90.000            3.373e+00           3.372e+00             299.955          -6.234e+01             208.320           4.000e+01     
 151.000          90.000            3.442e+00           3.442e+00             299.799          -6.251e+01             208.776           4.000e+01     
 152.000          90.000            3.506e+00           3.506e+00             299.643          -6.269e+01             209.195           4.000e+01     
 153.000          90.000            3.566e+00           3.566e+00             299.486          -6.287e+01             209.573           4.000e+01     
 154.000          90.000            3.622e+00           3.622e+00             299.328          -6.305e+01             209.906           4.000e+01     
 155.000          90.000            3.673e+00           3.673e+00             299.170          -6.323e+01             210.190           4.000e+01     
