Theta[deg.]      Phi[deg.]        Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]  Abs(Phi)[dBi]       Phase(Phi)[deg.]    Ax.Ratio[dB]    
 139.000          90.000            2.871e+00           2.871e+00             270.566          -4.199e+01             187.207           4.000e+01     
 140.000          90.000            2.962e+00           2.962e+00             270.449          -4.193e+01             186.853           4.000e+01     
 141.000          90.000            3.046e+00           3.046e+00             270.327          -4.188e+01             186.488           4.000e+01     
 142.000          90.000            3.125e+00           3.124e+00             270.201          -4.182e+01             186.110           4.000e+01     
 143.000          90.000            3.197e+00           3.196e+00             270.071          -4.176e+01             185.722           4.000e+01     
 144.000          90.000            3.263e+00           3.262e+00             269.936          -4.170e+01             185.322           4.000e+01     
 145.000          90.000            3.323e+00           3.322e+00             269.796          -4.164e+01             184.912           4.000e+01     
 146.000          90.000            3.377e+00           3.377e+00             269.652          -4.158e+01             184.493           4.000e+01     
 147.000          90.000            3.425e+00           3.425e+00             269.503          -4.152e+01             184.065           4.000e+01     
 148.000          90.000            3.467e+00           3.467e+00             269.349          -4.145e+01             183.628           4.000e+01     
 149.000          90.000            3.504e+00           3.503e+00             269.191          -4.139e+01             183.183           4.000e+01     
 150.000          90.000            3.534e+00           3.534e+00             269.028          -4.132e+01             182.731           4.000e+01     
 151.000          90.000            3.559e+00           3.559e+00             268.859          -4.126e+01             182.273           4.000e+01     
 152.000          90.000            3.578e+00           3.578e+00             268.686          -4.119e+01             181.809           4.000e+01     
 153.000          90.000            3.592e+00           3.592e+00             268.507          -4.112e+01             181.339           4.000e+01     
 154.000          90.000            3.600e+00           3.600e+00             268.324          -4.105e+01             180.865           4.000e+01     
 155.000          90.000            3.602e+00           3.602e+00             268.135          -4.098e+01             180.387           4.000e+01     
 156.000          90.000            3.598e+00           3.598e+00             267.941          -4.091e+01             179.906           4.000e+01     
 157.000          90.000            3.589e+00           3.589e+00             267.741          -4.083e+01             179.422           4.000e+01     
 158.000          90.000            3.574e+00           3.574e+00             267.536          -4.076e+01             178.936           4.000e+01     
 159.000          90.000            3.553e+00           3.553e+00             267.325          -4.069e+01             178.449           4.000e+01     
 160.000          90.000            3.527e+00           3.527e+00             267.109          -4.061e+01             177.961           4.000e+01     
 161.000          90.000            3.495e+00           3.495e+00             266.887          -4.054e+01             177.473           4.000e+01     
 162.000          90.000            3.457e+00           3.457e+00             266.659          -4.047e+01             176.985           4.000e+01     
 163.000          90.000            3.413e+00           3.413e+00             266.426          -4.039e+01             176.499           4.000e+01     
 164.000          90.000            3.364e+00           3.364e+00             266.186          -4.032e+01             176.014           4.000e+01     
 165.000          90.000            3.309e+00           3.309e+00             265.940          -4.025e+01             175.531           4.000e+01     
 166.000          90.000            3.248e+00           3.248e+00             265.688          -4.017e+01             175.050           4.000e+01     
 167.000          90.000            3.181e+00           3.181e+00             265.429          -4.010e+01             174.573           4.000e+01     
 168.000          90.000            3.109e+00           3.109e+00             265.163          -4.003e+01             174.099           4.000e+01     
 169.000          90.000            3.030e+00           3.030e+00             264.891          -3.995e+01             173.630           4.000e+01     
 170.000          90.000            2.946e+00           2.946e+00             264.612          -3.988e+01             173.165           4.000e+01     
 171.000          90.000            2.856e+00           2.856e+00             264.326          -3.981e+01             172.705           4.000e+01     
 172.000          90.000            2.760e+00           2.759e+00             264.033          -3.974e+01             172.250           4.000e+01     
 173.000          90.000            2.657e+00           2.657e+00             263.732          -3.967e+01             171.801           4.000e+01     
 174.000          90.000            2.549e+00           2.549e+00             263.423          -3.960e+01             171.358           4.000e+01     
