Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  95.000           0.000           -1.049e+00          -3.301e+01             130.252          -1.052e+00              98.000           3.742e+01     
  96.000           0.000           -1.036e+00          -3.322e+01             130.653          -1.038e+00              98.020           3.755e+01     
  97.000           0.000           -1.021e+00          -3.343e+01             131.069          -1.024e+00              98.023           3.768e+01     
  98.000           0.000           -1.005e+00          -3.365e+01             131.502          -1.008e+00              98.009           3.781e+01     
  99.000           0.000           -9.884e-01          -3.387e+01             131.952          -9.907e-01              97.978           3.794e+01     
 100.000           0.000           -9.705e-01          -3.410e+01             132.421          -9.726e-01              97.930           3.807e+01     
 101.000           0.000           -9.514e-01          -3.434e+01             132.911          -9.534e-01              97.867           3.821e+01     
 102.000           0.000           -9.312e-01          -3.458e+01             133.422          -9.331e-01              97.788           3.835e+01     
 103.000           0.000           -9.099e-01          -3.483e+01             133.957          -9.116e-01              97.693           3.849e+01     
 104.000           0.000           -8.874e-01          -3.509e+01             134.518          -8.891e-01              97.583           3.863e+01     
 105.000           0.000           -8.639e-01          -3.535e+01             135.105          -8.654e-01              97.459           3.877e+01     
 106.000           0.000           -8.392e-01          -3.562e+01             135.722          -8.406e-01              97.320           3.891e+01     
 107.000           0.000           -8.133e-01          -3.589e+01             136.370          -8.147e-01              97.167           3.906e+01     
 108.000           0.000           -7.864e-01          -3.617e+01             137.052          -7.876e-01              97.001           3.921e+01     
 109.000           0.000           -7.583e-01          -3.645e+01             137.769          -7.595e-01              96.822           3.937e+01     
 110.000           0.000           -7.291e-01          -3.674e+01             138.525          -7.302e-01              96.631           3.952e+01     
 111.000           0.000           -6.987e-01          -3.704e+01             139.322          -6.997e-01              96.427           3.968e+01     
 112.000           0.000           -6.673e-01          -3.734e+01             140.163          -6.682e-01              96.213           3.984e+01     
 113.000           0.000           -6.347e-01          -3.764e+01             141.050          -6.356e-01              95.987           4.000e+01     
 114.000           0.000           -6.011e-01          -3.795e+01             141.987          -6.019e-01              95.751           4.000e+01     
 115.000           0.000           -5.663e-01          -3.826e+01             142.976          -5.671e-01              95.506           4.000e+01     
 116.000           0.000           -5.306e-01          -3.857e+01             144.020          -5.312e-01              95.251           4.000e+01     
 117.000           0.000           -4.937e-01          -3.888e+01             145.122          -4.943e-01              94.988           4.000e+01     
 118.000           0.000           -4.558e-01          -3.920e+01             146.285          -4.564e-01              94.717           4.000e+01     
 119.000           0.000           -4.170e-01          -3.952e+01             147.510          -4.175e-01              94.438           4.000e+01     
 120.000           0.000           -3.772e-01          -3.983e+01             148.801          -3.776e-01              94.153           4.000e+01     
 121.000           0.000           -3.364e-01          -4.015e+01             150.158          -3.368e-01              93.862           4.000e+01     
 122.000           0.000           -2.947e-01          -4.046e+01             151.582          -2.951e-01              93.565           4.000e+01     
 123.000           0.000           -2.521e-01          -4.076e+01             153.073          -2.525e-01              93.263           4.000e+01     
 124.000           0.000           -2.088e-01          -4.106e+01             154.631          -2.091e-01              92.957           4.000e+01     
 125.000           0.000           -1.646e-01          -4.136e+01             156.253          -1.649e-01              92.648           4.000e+01     
 126.000           0.000           -1.196e-01          -4.164e+01             157.936          -1.200e-01              92.335           4.000e+01     
 127.000           0.000           -7.402e-02          -4.191e+01             159.676          -7.431e-02              92.019           4.000e+01     
 128.000           0.000           -2.774e-02          -4.217e+01             161.464          -2.801e-02              91.702           4.000e+01     
 129.000           0.000            1.914e-02          -4.242e+01             163.295           1.889e-02              91.383           4.000e+01     
 130.000           0.000            6.656e-02          -4.265e+01             165.157           6.633e-02              91.063           4.000e+01     
 131.000           0.000            1.145e-01          -4.287e+01             167.040           1.143e-01              90.743           4.000e+01     
 132.000           0.000            1.628e-01          -4.306e+01             168.930           1.626e-01              90.423           4.000e+01     
 133.000           0.000            2.115e-01          -4.324e+01             170.814           2.113e-01              90.104           4.000e+01     
 134.000           0.000            2.605e-01          -4.339e+01             172.677           2.604e-01              89.786           4.000e+01     
 135.000           0.000            3.098e-01          -4.353e+01             174.505           3.096e-01              89.469           4.000e+01     
 136.000           0.000            3.592e-01          -4.365e+01             176.281           3.591e-01              89.155           4.000e+01     
 137.000           0.000            4.088e-01          -4.374e+01             177.991           4.086e-01              88.843           4.000e+01     
 138.000           0.000            4.584e-01          -4.382e+01             179.623           4.582e-01              88.534           4.000e+01     
 139.000           0.000            5.080e-01          -4.387e+01             181.161           5.078e-01              88.229           4.000e+01     
 140.000           0.000            5.574e-01          -4.391e+01             182.597           5.573e-01              87.927           4.000e+01     
 141.000           0.000            6.068e-01          -4.394e+01             183.921           6.066e-01              87.629           4.000e+01     
 142.000           0.000            6.559e-01          -4.394e+01             185.124           6.557e-01              87.336           4.000e+01     
 143.000           0.000            7.047e-01          -4.393e+01             186.202           7.045e-01              87.047           4.000e+01     
 144.000           0.000            7.531e-01          -4.391e+01             187.150           7.530e-01              86.764           4.000e+01     
 145.000           0.000            8.011e-01          -4.387e+01             187.966           8.010e-01              86.486           4.000e+01     
 146.000           0.000            8.486e-01          -4.383e+01             188.649           8.485e-01              86.214           4.000e+01     
 147.000           0.000            8.955e-01          -4.377e+01             189.200           8.954e-01              85.947           4.000e+01     
 148.000           0.000            9.418e-01          -4.370e+01             189.621           9.417e-01              85.687           4.000e+01     
 149.000           0.000            9.874e-01          -4.363e+01             189.916           9.873e-01              85.433           4.000e+01     
 150.000           0.000            1.032e+00          -4.355e+01             190.088           1.032e+00              85.186           4.000e+01     
 151.000           0.000            1.076e+00          -4.346e+01             190.142           1.076e+00              84.945           4.000e+01     
 152.000           0.000            1.119e+00          -4.336e+01             190.083           1.119e+00              84.712           4.000e+01     
 153.000           0.000            1.161e+00          -4.326e+01             189.919           1.161e+00              84.485           4.000e+01     
 154.000           0.000            1.203e+00          -4.315e+01             189.654           1.202e+00              84.266           4.000e+01     
 155.000           0.000            1.243e+00          -4.303e+01             189.296           1.243e+00              84.054           4.000e+01     
 156.000           0.000            1.282e+00          -4.291e+01             188.852           1.281e+00              83.850           4.000e+01     
 157.000           0.000            1.319e+00          -4.278e+01             188.330           1.319e+00              83.654           4.000e+01     
 158.000           0.000            1.356e+00          -4.265e+01             187.735           1.356e+00              83.465           4.000e+01     
 159.000           0.000            1.391e+00          -4.252e+01             187.077           1.391e+00              83.284           4.000e+01     
 160.000           0.000            1.425e+00          -4.238e+01             186.362           1.425e+00              83.111           4.000e+01     
 161.000           0.000            1.458e+00          -4.223e+01             185.597           1.457e+00              82.946           4.000e+01     
 162.000           0.000            1.489e+00          -4.209e+01             184.789           1.489e+00              82.789           4.000e+01     
