Theta[deg.],Gain(S),Gain(M)
25,0.463,0.3704
24,0.4988,0.39904
23,0.5335,0.4268
22,0.5673,0.45384
21,0.6,0.48
20,0.6315,0.5052
19,0.6619,0.52952
18,0.691,0.5528
17,0.7189,0.57512
16,0.7454,0.59632
15,0.7705,0.6164
14,0.7943,0.63544
13,0.8166,0.65328
12,0.8374,0.66992
11,0.8567,0.68536
10,0.8744,0.69952
9,0.8906,0.71248
8,0.9052,0.72416
7,0.9181,0.73448
6,0.9295,0.7436
5,0.9391,0.75128
4,0.9471,0.75768
3,0.9534,0.76272
2,0.958,0.7664
1,0.961,0.7688
