Column1.1,Column1.2
               Frequency                         ,S11
                   2.648                      ,-11.356065
                   2.652                     ,-11.274784
               2.6559999                     ,-11.19917
               2.6600001                     ,-11.128889
                   2.664                     ,-11.063586
                   2.668                     ,-11.002886
               2.6719999                     ,-10.946401
               2.6760001                     ,-10.893719
               2.6800001                     ,-10.84442
                   2.684                     ,-10.79807
                   2.688                     ,-10.754233
               2.6919999                     ,-10.712468
               2.6960001                     ,-10.672339
                     2.7                     ,-10.633423
                   2.704                     ,-10.59531
               2.7079999                     ,-10.557613
               2.7119999                     ,-10.519969
               2.7160001                     ,-10.482051
                    2.72                     ,-10.44356
                   2.724                     ,-10.404239
               2.7279999                     ,-10.363866
               2.7320001                     ,-10.322258
               2.7360001                       ,-10.279266
                    2.74                      ,-10.234773
                   2.744                     ,-10.188696
               2.7479999                     ,-10.140968
               2.7520001                     ,-10.091547
                   2.756                     ,-10.040395
                    2.76                      ,-9.9874839
               2.7639999                     ,-9.9327827
               2.7679999                     ,-9.8762544
               2.7720001                     ,-9.8178481
                   2.776                     ,-9.7574986
                    2.78                     ,-9.6951255
               2.7839999                      ,-9.6306249
               2.7880001                      ,-9.5638771
               2.7920001                     ,-9.4947447
                   2.796                     ,-9.4230766
                     2.8                     ,-9.3487152
               2.8039999                     ,-9.2714953
               2.8080001                      ,-9.1912589
                   2.812                     ,-9.1078586
                   2.816                     ,-9.021162
               2.8199999                     ,-8.9310632
               2.8239999                      ,-8.8374871
               2.8280001                     ,-8.7403955
                   2.832                     ,-8.6397924
                   2.836                     ,-8.5357264
               2.8399999                     ,-8.4282909
               2.8440001                     ,-8.3176261
                   2.848                     ,-8.2039164
                   2.852                     ,-8.087386
               2.8559999                     ,-7.9682979
               2.8599999                     ,-7.8469428
               2.8640001                     ,-7.7236374
                   2.868                     ,-7.5987148
                   2.872                     ,-7.4725195
               2.8759999                     ,-7.3454002
               2.8800001                     ,-7.2177
               2.8840001                     ,-7.0897545
                   2.888                     ,-6.9618846
                   2.892                     ,-6.8343927
               2.8959999                     ,-6.7075586
               2.9000001                     ,-6.5816387
                   2.904                     ,-6.4568596
                   2.908                     ,-6.3334261
               2.9119999                     ,-6.2115103
               2.9159999                     ,-6.0912627
               2.9200001                      ,-5.972805
                   2.924                     ,-5.8562379
                   2.928                     ,-5.7416404
               2.9319999                     ,-5.6290734
               2.9360001                     ,-5.5185835
               2.9400001                     ,-5.4101988
                   2.944                     ,-5.3039448
                   2.948                     ,-5.1998348
               2.9519999                     ,-5.0978772
               2.9560001                      ,-4.9980797
                    2.96                     ,-4.9004479
                   2.964                     ,-4.8049856
               2.9679999                     ,-4.7117034
               2.9719999                     ,-4.6206118
               2.9760001                     ,-4.5317229
                    2.98                     ,-4.4450548
                   2.984                        ,-4.3606284
               2.9879999                     ,-4.2784661
               2.9920001                     ,-4.1985908
               2.9960001                     ,-4.1210289
                       3                     ,-4.0458041
               3.0039999                     ,-3.9729406
               3.0079999                     ,-3.902456
               3.0120001                     ,-3.8343659
                   3.016                     ,-3.7686801
                    3.02                     ,-3.7053998
               3.0239999                      ,-3.6445186
               3.0280001                     ,-3.5860239
               3.0320001                     ,-3.5298909
                   3.036                     ,-3.4760868
                    3.04                     ,-3.4245678
               3.0439999                     ,-3.375282
               3.0480001                     ,-3.3281681
                   3.052                     ,-3.2831552
                   3.056                     ,-3.2401677
               3.0599999                     ,-3.199122
               3.0639999                     ,-3.1599305
               3.0680001                     ,-3.1225008
                   3.072                     ,-3.0867424
                   3.076                     ,-3.0525617
               3.0799999                     ,-3.0198685
               3.0840001                     ,-2.988575
               3.0880001                     ,-2.9585991
                   3.092                     ,-2.9298662
                   3.096                     ,-2.9023061
               3.0999999                     ,-2.8758588
               3.1040001                     ,-2.8504726
                   3.108                     ,-2.8261062
                   3.112                      ,-2.8027264
               3.1159999                     ,-2.7803107
               3.1199999                     ,-2.7588441
               3.1240001                     ,-2.7383197
                   3.128                     ,-2.7187369
                   3.132                     ,-2.7001028
               3.1359999                     ,-2.6824265
               3.1400001                     ,-2.6657208
               3.1440001                     ,-2.6500002
                   3.148                      ,-2.6352778
                   3.152                     ,-2.6215668
               3.1559999                     ,-2.6088761
               3.1600001                     ,-2.5972114
                   3.164                      ,-2.5865706
