Column1,Column2,Column3,Column4,column5,Column6
                 Frequency                      ,S11(S)_Ry80,S11_Shifted,S11(S)_Rx80,S11_Shifted,S11(M)_Rx80
1.46,-0.2924848,-0.32411305,-0.307907398,-0.32065535,-0.246583964
1.464,-0.31174258,-0.32580574,-0.309515453,-0.31728731,-0.243993941
1.4680001,-0.32411305,-0.32065535,-0.304622583,-0.32302502,-0.24840624
1.472,-0.32580574,-0.31728731,-0.301422945,-0.33889375,-0.260609294
1.476,-0.32065535,-0.32302502,-0.306873769,-0.35901884,-0.276085488
1.48,-0.31728731,-0.33889375,-0.321949063,-0.37474198,-0.288176583
1.484,-0.32302502,-0.35901884,-0.341067898,-0.38067682,-0.292740475
1.488,-0.33889375,-0.37474198,-0.356004881,-0.37847362,-0.291046214
1.492,-0.35901884,-0.38067682,-0.361642979,-0.37554499,-0.288794097
1.4960001,-0.37474198,-0.37847362,-0.359549939,-0.37977084,-0.292043776
1.5,-0.38067682,-0.37554499,-0.356767741,-0.39405475,-0.303028103
1.5039999,-0.37847362,-0.37977084,-0.360782298,-0.41441413,-0.318684466
1.508,-0.37554499,-0.39405475,-0.374352013,-0.43278297,-0.332810104
1.512,-0.37977084,-0.41441413,-0.393693424,-0.44265154,-0.340399034
1.516,-0.39405475,-0.43278297,-0.411143822,-0.44363124,-0.341152424
1.52,-0.41441413,-0.44265154,-0.420518963,-0.44166039,-0.33963684
1.524,-0.43278297,-0.44363124,-0.421449678,-0.44474154,-0.342006244
1.528,-0.44265154,-0.44166039,-0.419577371,-0.45737569,-0.351721906
1.5319999,-0.44363124,-0.44474154,-0.422504463,-0.47755044,-0.367236288
1.536,-0.44166039,-0.45737569,-0.434506906,-0.4982016,-0.38311703
1.54,-0.44474154,-0.47755044,-0.453672918,-0.51214538,-0.393839797
1.544,-0.45737569,-0.4982016,-0.47329152,-0.51711785,-0.397663627
1.548,-0.47755044,-0.51214538,-0.486538111,-0.51732101,-0.397819857
1.552,-0.4982016,-0.51711785,-0.491261958,-0.52036683,-0.400162092
1.556,-0.51214538,-0.51732101,-0.49145496,-0.53192873,-0.409053193
1.5599999,-0.51711785,-0.52036683,-0.494348489,-0.55187567,-0.42439239
1.564,-0.51732101,-0.53192873,-0.505332294,-0.57442609,-0.441733663
1.568,-0.52036683,-0.55187567,-0.524281887,-0.59218139,-0.455387489
1.572,-0.53192873,-0.57442609,-0.545704786,-0.60130775,-0.46240566
1.576,-0.55187567,-0.59218139,-0.562572321,-0.60420914,-0.464636829
1.58,-0.57442609,-0.60130775,-0.571242363,-0.60776566,-0.467371793
1.584,-0.59218139,-0.60420914,-0.573998683,-0.61847024,-0.475603615
1.5880001,-0.60130775,-0.60776566,-0.577377377,-0.63797307,-0.490601291
1.592,-0.60420914,-0.61847024,-0.587546728,-0.66201071,-0.509086236
1.596,-0.60776566,-0.63797307,-0.606074417,-0.68338885,-0.525526026
1.6,-0.61847024,-0.66201071,-0.628910175,-0.69700073,-0.535993561
1.604,-0.63797307,-0.68338885,-0.649219408,-0.70339767,-0.540912808
1.608,-0.66201071,-0.69700073,-0.662150694,-0.70834336,-0.544716044
1.612,-0.68338885,-0.70339767,-0.668227787,-0.71871477,-0.552691658
1.6160001,-0.69700073,-0.70834336,-0.672926192,-0.73773707,-0.567319807
1.62,-0.70339767,-0.71871477,-0.682779032,-0.76283343,-0.586618908
1.624,-0.70834336,-0.73773707,-0.700850217,-0.78744523,-0.605545382
1.628,-0.71871477,-0.76283343,-0.724691759,-0.80560892,-0.619513259
1.632,-0.73773707,-0.78744523,-0.748072969,-0.81613795,-0.627610084
1.636,-0.76283343,-0.80560892,-0.765328474,-0.82341564,-0.633206627
1.64,-0.78744523,-0.81613795,-0.775331053,-0.8342613,-0.64154694
1.6440001,-0.80560892,-0.82341564,-0.782244858,-0.85317298,-0.656090022
1.648,-0.81613795,-0.8342613,-0.792548235,-0.87926585,-0.676155439
1.652,-0.82341564,-0.85317298,-0.810514331,-0.90692959,-0.697428855
1.656,-0.8342613,-0.87926585,-0.835302558,-0.92972622,-0.714959463
1.66,-0.85317298,-0.90692959,-0.861583111,-0.94488753,-0.726618511
1.664,-0.87926585,-0.92972622,-0.883239909,-0.95524255,-0.734581521
1.668,-0.90692959,-0.94488753,-0.897643154,-0.9671765,-0.743758729
1.6720001,-0.92972622,-0.95524255,-0.907480423,-0.98615681,-0.758354587
1.676,-0.94488753,-0.9671765,-0.918817675,-1.0129942,-0.77899254
1.6799999,-0.95524255,-0.98615681,-0.93684897,-1.0433418,-0.802329844
1.684,-0.9671765,-1.0129942,-0.96234449,-1.0707225,-0.823385603
1.688,-0.98615681,-1.0433418,-0.99117471,-1.0910518,-0.839018834
1.692,-1.0129942,-1.0707225,-1.017186375,-1.10549,-0.85012181
1.696,-1.0433418,-1.0910518,-1.03649921,-1.119589,-0.860963941
1.7,-1.0707225,-1.10549,-1.0502155,-1.1393635,-0.876170532
1.704,-1.0910518,-1.119589,-1.06360955,-1.1671458,-0.89753512
1.7079999,-1.10549,-1.1393635,-1.082395325,-1.2000203,-0.922815611
1.712,-1.119589,-1.1671458,-1.10878851,-1.2318624,-0.947302186
1.716,-1.1393635,-1.2000203,-1.140019285,-1.2576036,-0.967097168
1.72,-1.1671458,-1.2318624,-1.17026928,-1.2767862,-0.981848588
1.724,-1.2000203,-1.2576036,-1.19472342,-1.2938669,-0.994983646
1.728,-1.2318624,-1.2767862,-1.21294689,-1.3150592,-1.011280525
1.732,-1.2576036,-1.2938669,-1.229173555,-1.3440243,-1.033554687
1.7359999,-1.2767862,-1.3150592,-1.24930624,-1.3793865,-1.060748219
1.74,-1.2938669,-1.3440243,-1.276823085,-1.4157019,-1.088674761
1.744,-1.3150592,-1.3793865,-1.310417175,-1.4472357,-1.112924253
1.748,-1.3440243,-1.4157019,-1.344916805,-1.471968,-1.131943392
1.752,-1.3793865,-1.4472357,-1.374873915,-1.4930049,-1.148120768
1.756,-1.4157019,-1.471968,-1.3983696,-1.5163698,-1.166088376
1.76,-1.4472357,-1.4930049,-1.418354655,-1.5468108,-1.189497505
1.7640001,-1.471968,-1.5163698,-1.44055131,-1.5845514,-1.218520027
1.768,-1.4930049,-1.5468108,-1.46947026,-1.6251742,-1.24975896
1.772,-1.5163698,-1.5845514,-1.50532383,-1.6626738,-1.278596152
1.776,-1.5468108,-1.6251742,-1.54391549,-1.6936429,-1.30241139
1.78,-1.5845514,-1.6626738,-1.57954011,-1.7196596,-1.322418232
1.784,-1.6251742,-1.6936429,-1.608960755,-1.746161,-1.342797809
1.788,-1.6626738,-1.7196596,-1.63367662,-1.7786333,-1.367769008
1.7920001,-1.6936429,-1.746161,-1.65885295,-1.8188467,-1.398693112
1.796,-1.7196596,-1.7786333,-1.689701635,-1.8636717,-1.433163537
1.8,-1.746161,-1.8188467,-1.727904365,-1.9072462,-1.466672328
1.804,-1.7786333,-1.8636717,-1.770488115,-1.9450553,-1.495747526
1.808,-1.8188467,-1.9072462,-1.81188389,-1.9770929,-1.52038444
1.812,-1.8636717,-1.9450553,-1.847802535,-2.0078612,-1.544045263
1.816,-1.9072462,-1.9770929,-1.878238255,-2.0432019,-1.571222261
1.8200001,-1.9450553,-2.0078612,-1.90746814,-2.0862552,-1.604330249
1.824,-1.9770929,-2.0432019,-1.941041805,-2.1353245,-1.642064541
1.8279999,-2.0078612,-2.0862552,-1.98194244,-2.1850566,-1.680308525
1.832,-2.0432019,-2.1353245,-2.028558275,-2.2301443,-1.714980967
1.836,-2.0862552,-2.1850566,-2.07580377,-2.2690454,-1.744895913
1.84,-2.1353245,-2.2301443,-2.118637085,-2.3050753,-1.772602906
1.844,-2.1850566,-2.2690454,-2.15559313,-2.344074,-1.802592906
1.848,-2.2301443,-2.3050753,-2.189821535,-2.3903546,-1.838182687
1.852,-2.2690454,-2.344074,-2.2268703,-2.4437453,-1.879240136
1.8559999,-2.3050753,-2.3903546,-2.27083687,-2.4997232,-1.922287141
1.86,-2.344074,-2.4437453,-2.321558035,-2.5525273,-1.962893494
1.864,-2.3903546,-2.4997232,-2.37473704,-2.5991757,-1.998766113
1.868,-2.4437453,-2.5525273,-2.424900935,-2.6415799,-2.031374943
1.872,-2.4997232,-2.5991757,-2.469216915,-2.6852033,-2.064921338
1.876,-2.5525273,-2.6415799,-2.509500905,-2.7352641,-2.103418093
1.88,-2.5991757,-2.6852033,-2.550943135,-2.7931447,-2.147928274
1.8839999,-2.6415799,-2.7352641,-2.598500895,-2.8554514,-2.195842127
1.888,-2.6852033,-2.7931447,-2.653487465,-2.9163415,-2.242666614
1.892,-2.7352641,-2.8554514,-2.71267883,-2.9715768,-2.285142559
1.896,-2.7931447,-2.9163415,-2.770524425,-3.0215133,-2.323543728
1.9,-2.8554514,-2.9715768,-2.82299796,-3.0708719,-2.361500491
1.904,-2.9163415,-3.0215133,-2.870437635,-3.1254532,-2.403473511
1.908,-2.9715768,-3.0708719,-2.917328305,-3.1881281,-2.451670509
1.9119999,-3.0215133,-3.1254532,-2.96918054,-3.2568814,-2.504541797
1.916,-3.0708719,-3.1881281,-3.028721695,-3.3261721,-2.557826345
1.92,-3.1254532,-3.2568814,-3.09403733,-3.3907562,-2.607491518
1.924,-3.1881281,-3.3261721,-3.159863495,-3.4493682,-2.652564146
1.928,-3.2568814,-3.3907562,-3.22121839,-3.5056389,-2.695836314
1.932,-3.3261721,-3.4493682,-3.27689979,-3.5655763,-2.741928175
1.936,-3.3907562,-3.5056389,-3.330356955,-3.6334086,-2.794091213
1.9400001,-3.4493682,-3.5655763,-3.387297485,-3.708685,-2.851978765
1.944,-3.5056389,-3.6334086,-3.45173817,-3.7865717,-2.911873637
1.948,-3.5655763,-3.708685,-3.52325075,-3.8611568,-2.969229579
1.952,-3.6334086,-3.7865717,-3.597243115,-3.9295848,-3.021850711
1.956,-3.708685,-3.8611568,-3.66809896,-3.9940956,-3.071459516
