Column1,Column2,Column3,Column4,Column5
                 Frequency                      ,S11(S)_Ry20,S11_Shisted,S11(S)_Rx20,S11(M)_Rx20
1.22,-0.28054895,-0.30607103,-0.272403217,-0.197004278
1.224,-0.27204159,-0.29756367,-0.264831666,-0.191030325
1.228,-0.26353423,-0.28905631,-0.257260116,-0.185056372
1.232,-0.25502687,-0.28054895,-0.249688566,-0.179082418
1.2359999,-0.24651951,-0.27204159,-0.242117015,-0.173108465
1.24,-0.23801215,-0.26353423,-0.234545465,-0.167134512
1.244,-0.22950479,-0.25502687,-0.226973914,-0.161160559
1.248,-0.22099743,-0.24651951,-0.219402364,-0.155186605
1.252,-0.21249007,-0.23801215,-0.211830814,-0.149212652
1.256,-0.20398271,-0.22950479,-0.204259263,-0.143238699
1.26,-0.19547535,-0.22099743,-0.196687713,-0.137264746
1.2640001,-0.18696799,-0.21249007,-0.189116162,-0.131290792
1.268,-0.17846063,-0.20398271,-0.181544612,-0.125316839
1.272,-0.16995327,-0.19547535,-0.173973062,-0.119342886
1.276,-0.16144591,-0.18696799,-0.166401511,-0.113368932
1.28,-0.15293855,-0.17846063,-0.158829961,-0.107394979
1.284,-0.14443119,-0.16995327,-0.15125841,-0.101421026
1.288,-0.13592383,-0.16144591,-0.14368686,-0.095447073
1.2920001,-0.12741647,-0.15293855,-0.13611531,-0.089473119
1.296,-0.11890911,-0.14443119,-0.128543759,-0.083499166
1.3,-0.11040175,-0.13592383,-0.120972209,-0.077525213
1.304,-0.10189439,-0.12741647,-0.113400658,-0.07155126
1.308,-0.09338703,-0.11890911,-0.105829108,-0.065577306
1.312,-0.08487967,-0.11040175,-0.098257558,-0.059603353
1.316,-0.07637231,-0.10189439,-0.090686007,-0.0536294
1.3200001,-0.06786495,-0.09338703,-0.083114457,-0.047655447
1.324,-0.05935759,-0.08487967,-0.075542906,-0.041681493
1.3279999,-0.05085023,-0.07637231,-0.067971356,-0.03570754
1.332,-0.04234287,-0.06786495,-0.060399806,-0.029733587
1.336,-0.03383551,-0.05935759,-0.052828255,-0.023759633
1.34,-0.02532815,-0.05085023,-0.045256705,-0.01778568
