Column1,Column2,Column3,Column4,Column5,Column6
                 Frequency                     ,S11_It0,S11_It1,S11_It2,S11_It3,S11_It4
1.4,-0.081044876,-0.13709996,-1.8845967,-1.8492174,-2.5837024
1.404,-0.084221843,-0.1330364,-1.9179188,-1.884756,-2.6458395
1.408,-0.087271222,-0.12829327,-1.9519653,-1.9213421,-2.7070913
1.4119999,-0.090171054,-0.12297645,-1.9867485,-1.9584396,-2.766239
1.416,-0.092898855,-0.11720427,-2.0222785,-1.9955286,-2.8226125
1.42,-0.095435434,-0.11110198,-2.0585632,-2.0322152,-2.8762194
1.424,-0.09776561,-0.10479909,-2.0956122,-2.0683226,-2.9277462
1.428,-0.099871223,-0.098431312,-2.1334343,-2.1039221,-2.9784421
1.432,-0.10173973,-0.092131802,-2.1720343,-2.1393291,-3.0299001
1.436,-0.10335988,-0.086031023,-2.2114192,-2.1750342,-3.0837833
1.4400001,-0.10472224,-0.080256521,-2.2515944,-2.2116008,-3.1415463
1.444,-0.10581954,-0.07492702,-2.2925639,-2.2495505,-3.2041909
1.448,-0.10664704,-0.070151136,-2.3343315,-2.2892552,-3.2721087
1.452,-0.10720347,-0.066025965,-2.3768997,-2.3308623,-3.345012
1.456,-0.10748682,-0.062636399,-2.4202712,-2.3742616,-3.4219856
1.46,-0.10750192,-0.060051884,-2.4644485,-2.4191121,-3.5016298
1.464,-0.10725063,-0.058325767,-2.5094305,-2.4649165,-3.5822998
1.4680001,-0.10674111,-0.057495216,-2.5552193,-2.5111211,-3.6623871
1.472,-0.10598122,-0.057578703,-2.6018141,-2.5572398,-3.7406023
1.476,-0.10498201,-0.058578184,-2.6492141,-2.6029553,-3.8162118
1.48,-0.10375642,-0.060478717,-2.6974194,-2.6481921,-3.8891832
1.484,-0.10231944,-0.063247509,-2.7464281,-2.6931362,-3.9601946
1.488,-0.10068482,-0.066833492,-2.7962379,-2.7381961,-4.0305279
1.492,-0.09887149,-0.071173071,-2.8468482,-2.7839231,-4.1018471
1.4960001,-0.096898524,-0.076186672,-2.8982569,-2.8308924,-4.1759152
1.5,-0.094784835,-0.081782329,-2.9504617,-2.8795895,-4.2542991
1.5039999,-0.09255064,-0.087856422,-3.00346,-2.9303074,-4.3381096
1.508,-0.090218008,-0.094296231,-3.0572508,-2.9830858,-4.4278183
1.512,-0.087810036,-0.10098335,-3.1118318,-3.0377038,-4.5231821
1.516,-0.085346726,-0.10779183,-3.1672013,-3.0937287,-4.6232697
1.52,-0.082851948,-0.11459689,-3.2233583,-3.1506006,-4.72662
