Column1,Column2,Column3,Column4,,
                Frequency                      ,S11,,,,
                   2.112                     ,-13.899094,,,,
               2.1159999                     ,-13.783759,,,,
               2.1199999                     ,-13.668572,,,,
               2.1240001                     ,-13.558729,,,,
                   2.128                     ,-13.458837,,,,
                   2.132                     ,-13.372171,,,,
               2.1359999                     ,-13.300179,,,,
               2.1400001                     ,-13.242269,,,,
               2.1440001                     ,-13.195901,,,,
                   2.148                     ,-13.156951,,,,
                   2.152                     ,-13.120357,,,,
               2.1559999                     ,-13.080949,,,,
               2.1600001                     ,-13.034381,,,,
                   2.164                     ,-12.977945,,,,
                   2.168                     ,-12.911119,,,,
               2.1719999                     ,-12.835658,,,,
               2.1760001                      ,-12.75525,,,,
               2.1800001                     ,-12.674781,,,,
                   2.184                      ,-12.59944,,,,
                   2.188                     ,-12.533807,,,,
               2.1919999                     ,-12.481116,,,,
               2.1960001                     ,-12.442752,,,,
                     2.2                     ,-12.418029,,,,
                   2.204                     ,-12.404273,,,,
               2.2079999                     ,-12.397194,,,,
               2.2119999                     ,-12.391545,,,,
               2.2160001                     ,-12.382003,,,,
                    2.22                     ,-12.364139,,,,
                   2.224                     ,-12.335291,,,,
               2.2279999                     ,-12.295138,,,,
               2.2320001                     ,-12.245794,,,,
               2.2360001                     ,-12.191412,,,,
                    2.24                     ,-12.137402,,,,
                   2.244                     ,-12.089441,,,,
               2.2479999                     ,-12.052507,,,,
               2.2520001                     ,-12.030073,,,,
                   2.256                     ,-12.023562,,,,
                    2.26                     ,-12.032104,,,,
               2.2639999                       ,-12.0526,,,,
               2.2679999                     ,-12.080133,,,,
               2.2720001                     ,-12.108702,,,,
                   2.276                     ,-12.132235,,,,
                    2.28                     ,-12.145726,,,,
               2.2839999                     ,-12.146296,,,,
               2.2880001                     ,-12.133868,,,,
               2.2920001                     ,-12.111292,,,,
                   2.296                     ,-12.083854,,,,
                     2.3                     ,-12.058311,,,,
               2.3039999                     ,-12.041702,,,,
               2.3080001                     ,-12.040193,,,,
                   2.312                     ,-12.058108,,,,
                   2.316                     ,-12.097273,,,,
               2.3199999                     ,-12.156674,,,,
               2.3239999                     ,-12.232489,,,,
               2.3280001                     ,-12.318509,,,,
                   2.332                     ,-12.407013,,,,
                   2.336                     ,-12.490077,,,,
               2.3399999                     ,-12.561155,,,,
               2.3440001                     ,-12.616628,,,,
                   2.348                     ,-12.656883,,,,
                   2.352                     ,-12.686581,,,,
               2.3559999                     ,-12.714016,,,,
               2.3599999                     ,-12.749764,,,,
               2.3640001                     ,-12.805044,,,,
                   2.368                     ,-12.890115,,,,
                   2.372                     ,-13.012989,,,,
               2.3759999                     ,-13.178467,,,,
               2.3800001                     ,-13.387521,,,,
               2.3840001                     ,-13.637006,,,,
                   2.388                      ,-13.91982,,,,
                   2.392                     ,-14.225759,,,,
               2.3959999                     ,-14.543378,,,,
               2.4000001                     ,-14.862978,,,,
                   2.404                      ,-15.18044,,,,
                   2.408                     ,-15.500989,,,,
               2.4119999                      ,-15.84184,,,,
               2.4159999                     ,-16.233211,,,,
               2.4200001                     ,-16.718492,,,,
                   2.424                     ,-17.355542,,,,
                   2.428                     ,-18.222353,,,,
               2.4319999                     ,-19.432801,,,,
               2.4360001                     ,-21.177589,,,,
               2.4400001                     ,-23.845358,,,,
                   2.444                     ,-28.522367,,,,
                   2.448                     ,-41.901649,,,,
               2.4519999                     ,-31.345143,,,,
               2.4560001                     ,-23.978946,,,,
                    2.46                     ,-19.857984,,,,
                   2.464                     ,-16.988565,,,,
               2.4679999                     ,-14.808675,,,,
               2.4719999                     ,-13.079669,,,,
               2.4760001                     ,-11.677562,,,,
                    2.48                     ,-10.529386,,,,
                   2.484                     ,-9.5882658,,,,
               2.4879999                     ,-8.8219619,,,,
               2.4920001                     ,-8.2069458,,,,
               2.4960001                     ,-7.7250316,,,,
                     2.5                     ,-7.3612895,,,,
               2.5039999                     ,-7.1026381,,,,
               2.5079999                     ,-6.9368247,,,,
               2.5120001                     ,-6.8516436,,,,
                   2.516                     ,-6.8343558,,,,
                    2.52                     ,-6.8713217,,,,
               2.5239999                     ,-6.9479264,,,,
               2.5280001                     ,-7.0489232,,,,
               2.5320001                     ,-7.1592342,,,,
                   2.536                     ,-7.2652307,,,,
                    2.54                     ,-7.3562234,,,,
               2.5439999                     ,-7.4257869,,,,
               2.5480001                     ,-7.4724257,,,,
                   2.552                     ,-7.4993025,,,,
                   2.556                     ,-7.5130616,,,,
               2.5599999                     ,-7.5221066,,,,
               2.5639999                     ,-7.5348162,,,,
               2.5680001                     ,-7.5580328,,,,
                   2.572                     ,-7.5960516,,,,
                   2.576                     ,-7.6500827,,,,
               2.5799999                     ,-7.7181834,,,,
               2.5840001                     ,-7.7955952,,,,
               2.5880001                     ,-7.8754816,,,,
                   2.592                     ,-7.9500338,,,,
                   2.596                      ,-8.011844,,,,
               2.5999999                     ,-8.0553223,,,,
               2.6040001                     ,-8.0778387,,,,
                   2.608                     ,-8.0802588,,,,
                   2.612                     ,-8.0667072,,,,
               2.6159999                      ,-8.043641,,,,
               2.6199999                     ,-8.0184992,,,,
               2.6240001                     ,-7.9982795,,,,
                   2.628                     ,-7.9883265,,,,
                   2.632                     ,-7.9914584,,,,
               2.6359999                      ,-8.007509,,,,
               2.6400001                     ,-8.0332905,,,,
               2.6440001                      ,-8.062985,,,,
                   2.648                     ,-8.0890157,,,,
                   2.652                     ,-8.1033555,,,,
               2.6559999                     ,-8.0991562,,,,
               2.6600001                     ,-8.0723788,,,,
                   2.664                     ,-8.0230258,,,,
                   2.668                     ,-7.9556093,,,,
               2.6719999                     ,-7.8787355,,,,
               2.6760001                     ,-7.8040033,,,,
               2.6800001                     ,-7.7446054,,,,
                   2.684                     ,-7.7140214,,,,
                   2.688                     ,-7.7250654,,,,
               2.6919999                     ,-7.7893245,,,,
               2.6960001                     ,-7.9169751,,,,
                     2.7                      ,-8.116811,,,,
                   2.704                     ,-8.3963942,,,,
               2.7079999                     ,-8.7622214,,,,
               2.7119999                     ,-9.2198095,,,,
               2.7160001                     ,-9.7736193,,,,
                    2.72                     ,-10.426681,,,,
                   2.724                     ,-11.179737,,,,
               2.7279999                     ,-12.029563,,,,
               2.7320001                      ,-12.96602,,,,
               2.7360001                     ,-13.967294,,,,
                    2.74                     ,-14.993361,,,,
                   2.744                     ,-15.979893,,,,
               2.7479999                     ,-16.839761,,,,
               2.7520001                     ,-17.483001,,,,
                   2.756                     ,-17.855682,,,,
                    2.76                     ,-17.970381,,,,
               2.7639999                     ,-17.896838,,,,
               2.7679999                     ,-17.722789,,,,
               2.7720001                     ,-17.520905,,,,
                   2.776                     ,-17.337282,,,,
                    2.78                     ,-17.194024,,,,
               2.7839999                     ,-17.095964,,,,
               2.7880001                     ,-17.036832,,,,
               2.7920001                     ,-17.004042,,,,
                   2.796                     ,-16.982502,,,,
                     2.8                     ,-16.957896,,,,
               2.8039999                     ,-16.919393,,,,
               2.8080001                     ,-16.861466,,,,
                   2.812                     ,-16.784391,,,,
                   2.816                     ,-16.693386,,,,
               2.8199999                      ,-16.59678,,,,
               2.8239999                     ,-16.503868,,,,
               2.8280001                     ,-16.423022,,,,
                   2.832                     ,-16.360387,,,,
                   2.836                     ,-16.319184,,,,
               2.8399999                     ,-16.299539,,,,
               2.8440001                     ,-16.298692,,,,
                   2.848                      ,-16.31152,,,,
                   2.852                     ,-16.331306,,,,
               2.8559999                     ,-16.350693,,,,
               2.8599999                     ,-16.362772,,,,
               2.8640001                     ,-16.362103,,,,
                   2.868                     ,-16.345506,,,,
                   2.872                     ,-16.312415,,,,
               2.8759999                     ,-16.264738,,,,
               2.8800001                     ,-16.206248,,,,
               2.8840001                     ,-16.141716,,,,
                   2.888                     ,-16.075963,,,,
                   2.892                     ,-16.013047,,,,
               2.8959999                     ,-15.955669,,,,
               2.9000001                     ,-15.904858,,,,
                   2.904                     ,-15.859901,,,,
                   2.908                     ,-15.818517,,,,
               2.9119999                     ,-15.777227,,,,
               2.9159999                     ,-15.731885,,,,
               2.9200001                     ,-15.678306,,,,
                   2.924                     ,-15.612912,,,,
                   2.928                     ,-15.533285,,,,
               2.9319999                     ,-15.438516,,,,
               2.9360001                     ,-15.329295,,,,
               2.9400001                     ,-15.207713,,,,
                   2.944                     ,-15.076839,,,,
                   2.948                     ,-14.940176,,,,
               2.9519999                     ,-14.801093,,,,
               2.9560001                     ,-14.662359,,,,
                    2.96                     ,-14.525793,,,,
                   2.964                     ,-14.392103,,,,
               2.9679999                     ,-14.260878,,,,
               2.9719999                     ,-14.130751,,,,
               2.9760001                     ,-13.999676,,,,
                    2.98                     ,-13.865302,,,,
                   2.984                     ,-13.725391,,,,
               2.9879999                     ,-13.578202,,,,
               2.9920001                     ,-13.422795,,,,
               2.9960001                      ,-13.25919,,,,
                       3                     ,-13.088351,,,,
               3.0039999                     ,-12.912022,,,,
               3.0079999                     ,-12.732432,,,,
               3.0120001                     ,-12.551946,,,,
                   3.016                     ,-12.372724,,,,
                    3.02                     ,-12.196438,,,,
               3.0239999                      ,-12.02408,,,,
               3.0280001                      ,-11.85589,,,,
               3.0320001                     ,-11.691391,,,,
                   3.036                     ,-11.529525,,,,
                    3.04                     ,-11.368875,,,,
               3.0439999                     ,-11.207916,,,,
               3.0480001                     ,-11.045293,,,,
                   3.052                     ,-10.880044,,,,
                   3.056                     ,-10.711767,,,,
               3.0599999                     ,-10.540671,,,,
               3.0639999                      ,-10.36753,,,,
               3.0680001                     ,-10.193548,,,,
                   3.072                     ,-10.020152,,,,
                   3.076                     ,-9.8487677,,,,
               3.0799999                     ,-9.6806089,,,,
               3.0840001                      ,-9.516514,,,,
               3.0880001                     ,-9.3568506,,,,
                   3.092                     ,-9.2014927,,,,
                   3.096                     ,-9.0498773,,,,
               3.0999999                     ,-8.9011237,,,,
               3.1040001                     ,-8.7541893,,,,
                   3.108                     ,-8.6080552,,,,
                   3.112                     ,-8.4618943,,,,
               3.1159999                     ,-8.3151993,,,,
               3.1199999                     ,-8.1678643,,,,
               3.1240001                     ,-8.0201829,,,,
                   3.128                     ,-7.8727936,,,,
                   3.132                     ,-7.7265598,,,,
               3.1359999                     ,-7.5824236,,,,
               3.1400001                      ,-7.441258,,,,
               3.1440001                     ,-7.3037353,,,,
                   3.148                     ,-7.1702331,,,,
                   3.152                      ,-7.040792,,,,
               3.1559999                     ,-6.9151292,,,,
               3.1600001                     ,-6.7926984,,,,
                   3.164                     ,-6.6727875,,,,
                   3.168                     ,-6.5546422,,,,
               3.1719999                      ,-6.437594,,,,
               3.1760001                     ,-6.3211599,,,,
               3.1800001                     ,-6.2051238,,,,
                   3.184                     ,-6.0895554,,,,
                   3.188                     ,-5.9747972,,,,
               3.1919999                      ,-5.861392,,,,
               3.1960001                      ,-5.749991,,,,
                     3.2                     ,-5.6412425,,,,
                   3.204                     ,-5.5356923,,,,
               3.2079999                     ,-5.4336966,,,,
               3.2119999                     ,-5.3353748,,,,
               3.2160001                     ,-5.2405975,,,,
                    3.22                     ,-5.1490181,,,,
                   3.224                     ,-5.0601297,,,,
               3.2279999                     ,-4.9733599,,,,
               3.2320001                     ,-4.8881573,,,,
               3.2360001                     ,-4.8040793,,,,
                    3.24                     ,-4.7208682,,,,
                   3.244                     ,-4.6384814,,,,
               3.2479999                     ,-4.5570895,,,,
               3.2520001                     ,-4.4770466,,,,
                   3.256                     ,-4.3988224,,,,
                    3.26                     ,-4.3229176,,,,
               3.2639999                      ,-4.249784,,,,
               3.2679999                     ,-4.1797502,,,,
               3.2720001                     ,-4.1129669,,,,
                   3.276                     ,-4.0493924,,,,
                    3.28                     ,-3.9887938,,,,
               3.2839999                       ,-3.93079,,,,
               3.2880001                     ,-3.8749186,,,,
               3.2920001                     ,-3.8207036,,,,
                   3.296                     ,-3.7677364,,,,
                     3.3                     ,-3.7157391,,,,
               3.3039999                     ,-3.6646002,,,,
               3.3080001                      ,-3.614394,,,,
                   3.312                     ,-3.5653562,,,,
                   3.316                     ,-3.5178407,,,,
               3.3199999                      ,-3.472255,,,,
               3.3239999                     ,-3.4289894,,,,
               3.3280001                     ,-3.3883511,,,,
                   3.332                     ,-3.3505087,,,,
                   3.336                     ,-3.3154686,,,,
               3.3399999                     ,-3.2830703,,,,
               3.3440001                     ,-3.2530114,,,,
                   3.348                     ,-3.2248973,,,,
                   3.352                     ,-3.1983045,,,,
               3.3559999                     ,-3.1728464,,,,
               3.3599999                     ,-3.1482345,,,,
               3.3640001                     ,-3.1243201,,,,
                   3.368                     ,-3.1011172,,,,
                   3.372                     ,-3.0787926,,,,
               3.3759999                     ,-3.0576315,,,,
               3.3800001                      ,-3.037986,,,,
               3.3840001                     ,-3.0202104,,,,
                   3.388                     ,-3.0046005,,,,
                   3.392                     ,-2.9913395,,,,
               3.3959999                     ,-2.9804642,,,,
               3.4000001                     ,-2.9718589,,,,
                   3.404                     ,-2.9652719,,,,
                   3.408                     ,-2.9603507,,,,
               3.4119999                     ,-2.9567045,,,,
               3.4159999                     ,-2.9539583,,,,
               3.4200001                     ,-2.9518199,,,,
                   3.424                     ,-2.9501207,,,,
                   3.428                     ,-2.9488402,,,,
               3.4319999                     ,-2.9481074,,,,
               3.4360001                     ,-2.9481724,,,,
               3.4400001                     ,-2.9493602,,,,
                   3.444                     ,-2.9520117,,,,
                   3.448                     ,-2.9564231,,,,
               3.4519999                     ,-2.9627897,,,,
               3.4560001                     ,-2.9711758,,,,
                    3.46                     ,-2.9814933,,,,
                   3.464                     ,-2.9935196,,,,
               3.4679999                     ,-3.0069297,,,,
               3.4719999                     ,-3.0213473,,,,
               3.4760001                     ,-3.0364036,,,,
                    3.48                     ,-3.0518025,,,,
                   3.484                     ,-3.0673618,,,,
               3.4879999                     ,-3.0830451,,,,
               3.4920001                     ,-3.0989641,,,,
               3.4960001                     ,-3.1153531,,,,
                     3.5                     ,-3.1325302,,,,
