Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
 135.000          90.000            1.863e+00           1.863e+00             299.018          -4.778e+01             311.978           4.000e+01     
 136.000          90.000            2.007e+00           2.007e+00             298.921          -4.787e+01             311.735           4.000e+01     
 137.000          90.000            2.144e+00           2.144e+00             298.822          -4.795e+01             311.472           4.000e+01     
 138.000          90.000            2.276e+00           2.276e+00             298.721          -4.804e+01             311.186           4.000e+01     
 139.000          90.000            2.402e+00           2.402e+00             298.619          -4.814e+01             310.878           4.000e+01     
 140.000          90.000            2.522e+00           2.522e+00             298.515          -4.825e+01             310.546           4.000e+01     
 141.000          90.000            2.637e+00           2.637e+00             298.408          -4.836e+01             310.188           4.000e+01     
 142.000          90.000            2.746e+00           2.746e+00             298.299          -4.847e+01             309.803           4.000e+01     
 143.000          90.000            2.850e+00           2.850e+00             298.187          -4.859e+01             309.389           4.000e+01     
 144.000          90.000            2.949e+00           2.949e+00             298.073          -4.872e+01             308.944           4.000e+01     
 145.000          90.000            3.043e+00           3.043e+00             297.957          -4.886e+01             308.466           4.000e+01     
 146.000          90.000            3.131e+00           3.131e+00             297.837          -4.900e+01             307.953           4.000e+01     
 147.000          90.000            3.215e+00           3.215e+00             297.715          -4.916e+01             307.402           4.000e+01     
 148.000          90.000            3.293e+00           3.293e+00             297.590          -4.931e+01             306.811           4.000e+01     
 149.000          90.000            3.367e+00           3.367e+00             297.461          -4.948e+01             306.175           4.000e+01     
 150.000          90.000            3.435e+00           3.435e+00             297.330          -4.966e+01             305.492           4.000e+01     
 151.000          90.000            3.499e+00           3.499e+00             297.195          -4.984e+01             304.757           4.000e+01     
 152.000          90.000            3.558e+00           3.558e+00             297.057          -5.004e+01             303.967           4.000e+01     
 153.000          90.000            3.612e+00           3.612e+00             296.916          -5.024e+01             303.116           4.000e+01     
 154.000          90.000            3.662e+00           3.662e+00             296.772          -5.045e+01             302.198           4.000e+01     
 155.000          90.000            3.706e+00           3.706e+00             296.624          -5.067e+01             301.208           4.000e+01     
 156.000          90.000            3.746e+00           3.746e+00             296.472          -5.090e+01             300.138           4.000e+01     
 157.000          90.000            3.782e+00           3.782e+00             296.317          -5.115e+01             298.981           4.000e+01     
 158.000          90.000            3.812e+00           3.812e+00             296.159          -5.140e+01             297.728           4.000e+01     
 159.000          90.000            3.838e+00           3.838e+00             295.996          -5.166e+01             296.370           4.000e+01     
 160.000          90.000            3.860e+00           3.860e+00             295.830          -5.193e+01             294.895           4.000e+01     
 161.000          90.000            3.877e+00           3.877e+00             295.660          -5.221e+01             293.292           4.000e+01     
 162.000          90.000            3.889e+00           3.889e+00             295.487          -5.250e+01             291.547           4.000e+01     
 163.000          90.000            3.897e+00           3.897e+00             295.309          -5.280e+01             289.646           4.000e+01     
 164.000          90.000            3.900e+00           3.900e+00             295.127          -5.310e+01             287.573           4.000e+01     
 165.000          90.000            3.898e+00           3.898e+00             294.942          -5.341e+01             285.312           4.000e+01     
 166.000          90.000            3.893e+00           3.893e+00             294.752          -5.372e+01             282.845           4.000e+01     
 167.000          90.000            3.882e+00           3.882e+00             294.559          -5.403e+01             280.156           4.000e+01     
 168.000          90.000            3.867e+00           3.867e+00             294.361          -5.434e+01             277.227           4.000e+01     
 169.000          90.000            3.848e+00           3.848e+00             294.159          -5.464e+01             274.043           4.000e+01     
 170.000          90.000            3.824e+00           3.824e+00             293.953          -5.492e+01             270.596           4.000e+01     
 171.000          90.000            3.796e+00           3.796e+00             293.742          -5.518e+01             266.879           4.000e+01     
 172.000          90.000            3.763e+00           3.763e+00             293.528          -5.542e+01             262.897           4.000e+01     
 173.000          90.000            3.726e+00           3.726e+00             293.308          -5.562e+01             258.664           4.000e+01     
 174.000          90.000            3.684e+00           3.684e+00             293.085          -5.578e+01             254.208           4.000e+01     
 175.000          90.000            3.638e+00           3.638e+00             292.857          -5.589e+01             249.570           4.000e+01     
 176.000          90.000            3.587e+00           3.587e+00             292.625          -5.595e+01             244.804           4.000e+01     
 177.000          90.000            3.532e+00           3.532e+00             292.388          -5.594e+01             239.974           4.000e+01     
 178.000          90.000            3.473e+00           3.473e+00             292.146          -5.588e+01             235.148           4.000e+01     
 179.000          90.000            3.409e+00           3.409e+00             291.900          -5.575e+01             230.396           4.000e+01     
 180.000          90.000            3.340e+00           3.340e+00             291.649          -5.558e+01             225.773           4.000e+01     
 179.000         270.000            3.268e+00           3.268e+00             111.394          -5.535e+01              41.346           4.000e+01     
 178.000         270.000            3.190e+00           3.190e+00             111.134          -5.508e+01              37.145           4.000e+01     
 177.000         270.000            3.109e+00           3.109e+00             110.869          -5.478e+01              33.198           4.000e+01     
 176.000         270.000            3.023e+00           3.023e+00             110.600          -5.445e+01              29.516           4.000e+01     
 175.000         270.000            2.932e+00           2.932e+00             110.326          -5.411e+01              26.101           4.000e+01     
 174.000         270.000            2.837e+00           2.837e+00             110.046          -5.375e+01              22.949           4.000e+01     
 173.000         270.000            2.738e+00           2.738e+00             109.763          -5.338e+01              20.048           4.000e+01     
 172.000         270.000            2.635e+00           2.635e+00             109.474          -5.301e+01              17.383           4.000e+01     
 171.000         270.000            2.527e+00           2.527e+00             109.180          -5.264e+01              14.937           4.000e+01     
 170.000         270.000            2.414e+00           2.414e+00             108.881          -5.227e+01              12.693           4.000e+01     
 169.000         270.000            2.297e+00           2.297e+00             108.578          -5.191e+01              10.634           4.000e+01     
 168.000         270.000            2.176e+00           2.176e+00             108.269          -5.155e+01               8.742           4.000e+01     
 167.000         270.000            2.051e+00           2.051e+00             107.956          -5.121e+01               7.003           4.000e+01     
 166.000         270.000            1.921e+00           1.921e+00             107.637          -5.087e+01               5.402           4.000e+01     
 165.000         270.000            1.787e+00           1.787e+00             107.314          -5.054e+01               3.926           4.000e+01     
 164.000         270.000            1.649e+00           1.649e+00             106.985          -5.022e+01               2.564           4.000e+01     
 163.000         270.000            1.506e+00           1.506e+00             106.652          -4.991e+01               1.304           4.000e+01     
 162.000         270.000            1.359e+00           1.359e+00             106.314          -4.961e+01               0.137           4.000e+01     
 161.000         270.000            1.208e+00           1.208e+00             105.970          -4.932e+01             359.054           4.000e+01     
 160.000         270.000            1.052e+00           1.052e+00             105.622          -4.905e+01             358.048           4.000e+01     
 159.000         270.000            8.924e-01           8.924e-01             105.269          -4.878e+01             357.112           4.000e+01     
 158.000         270.000            7.283e-01           7.283e-01             104.911          -4.852e+01             356.240           4.000e+01     
 157.000         270.000            5.600e-01           5.600e-01             104.549          -4.827e+01             355.426           4.000e+01     
 156.000         270.000            3.875e-01           3.874e-01             104.181          -4.803e+01             354.665           4.000e+01     
 155.000         270.000            2.107e-01           2.106e-01             103.809          -4.779e+01             353.953           4.000e+01     
 154.000         270.000            2.974e-02           2.966e-02             103.432          -4.757e+01             353.286           4.000e+01     
 153.000         270.000           -1.554e-01          -1.555e-01             103.051          -4.735e+01             352.660           4.000e+01     
 152.000         270.000           -3.448e-01          -3.449e-01             102.665          -4.715e+01             352.072           4.000e+01     
 151.000         270.000           -5.383e-01          -5.384e-01             102.276          -4.695e+01             351.519           4.000e+01     
 150.000         270.000           -7.360e-01          -7.361e-01             101.881          -4.675e+01             350.998           4.000e+01     
 149.000         270.000           -9.378e-01          -9.379e-01             101.483          -4.657e+01             350.507           4.000e+01     
 148.000         270.000           -1.144e+00          -1.144e+00             101.082          -4.639e+01             350.044           4.000e+01     
 147.000         270.000           -1.354e+00          -1.354e+00             100.676          -4.622e+01             349.607           4.000e+01     
 146.000         270.000           -1.568e+00          -1.568e+00             100.267          -4.605e+01             349.194           4.000e+01     
 145.000         270.000           -1.786e+00          -1.787e+00              99.855          -4.590e+01             348.804           4.000e+01     
 144.000         270.000           -2.009e+00          -2.009e+00              99.440          -4.574e+01             348.434           4.000e+01     
 143.000         270.000           -2.236e+00          -2.236e+00              99.022          -4.560e+01             348.083           4.000e+01     
