Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
  93.000           0.000            3.804e-01          -3.173e+01             115.591           3.777e-01             111.514           4.000e+01     
  94.000           0.000            3.940e-01          -3.176e+01             114.759           3.914e-01             111.632           4.000e+01     
  95.000           0.000            4.094e-01          -3.179e+01             113.919           4.068e-01             111.744           4.000e+01     
  96.000           0.000            4.263e-01          -3.182e+01             113.073           4.237e-01             111.850           4.000e+01     
  97.000           0.000            4.449e-01          -3.185e+01             112.222           4.423e-01             111.949           4.000e+01     
  98.000           0.000            4.651e-01          -3.188e+01             111.365           4.625e-01             112.043           4.000e+01     
  99.000           0.000            4.868e-01          -3.191e+01             110.505           4.843e-01             112.130           4.000e+01     
 100.000           0.000            5.101e-01          -3.195e+01             109.641           5.076e-01             112.212           4.000e+01     
 101.000           0.000            5.349e-01          -3.198e+01             108.775           5.325e-01             112.287           4.000e+01     
 102.000           0.000            5.612e-01          -3.201e+01             107.907           5.588e-01             112.357           4.000e+01     
 103.000           0.000            5.890e-01          -3.204e+01             107.039           5.866e-01             112.422           4.000e+01     
 104.000           0.000            6.182e-01          -3.208e+01             106.170           6.158e-01             112.481           4.000e+01     
 105.000           0.000            6.488e-01          -3.211e+01             105.303           6.465e-01             112.534           4.000e+01     
 106.000           0.000            6.807e-01          -3.214e+01             104.438           6.785e-01             112.583           4.000e+01     
 107.000           0.000            7.140e-01          -3.218e+01             103.575           7.118e-01             112.627           4.000e+01     
 108.000           0.000            7.486e-01          -3.221e+01             102.717           7.464e-01             112.665           4.000e+01     
 109.000           0.000            7.844e-01          -3.225e+01             101.862           7.822e-01             112.699           4.000e+01     
 110.000           0.000            8.214e-01          -3.228e+01             101.013           8.193e-01             112.729           4.000e+01     
 111.000           0.000            8.596e-01          -3.232e+01             100.170           8.575e-01             112.754           4.000e+01     
 112.000           0.000            8.988e-01          -3.236e+01              99.334           8.968e-01             112.775           4.000e+01     
 113.000           0.000            9.392e-01          -3.240e+01              98.505           9.372e-01             112.792           4.000e+01     
 114.000           0.000            9.805e-01          -3.243e+01              97.685           9.785e-01             112.805           4.000e+01     
 115.000           0.000            1.023e+00          -3.248e+01              96.874           1.021e+00             112.814           4.000e+01     
 116.000           0.000            1.066e+00          -3.252e+01              96.072           1.064e+00             112.820           4.000e+01     
 117.000           0.000            1.110e+00          -3.256e+01              95.281           1.108e+00             112.823           4.000e+01     
 118.000           0.000            1.155e+00          -3.261e+01              94.500           1.153e+00             112.822           4.000e+01     
 119.000           0.000            1.201e+00          -3.266e+01              93.731           1.199e+00             112.819           4.000e+01     
 120.000           0.000            1.247e+00          -3.271e+01              92.973           1.245e+00             112.813           4.000e+01     
 121.000           0.000            1.294e+00          -3.276e+01              92.228           1.292e+00             112.804           4.000e+01     
 122.000           0.000            1.341e+00          -3.281e+01              91.496           1.340e+00             112.793           4.000e+01     
 123.000           0.000            1.389e+00          -3.287e+01              90.777           1.388e+00             112.779           4.000e+01     
 124.000           0.000            1.438e+00          -3.293e+01              90.072           1.436e+00             112.764           4.000e+01     
 125.000           0.000            1.487e+00          -3.299e+01              89.380           1.485e+00             112.746           4.000e+01     
 126.000           0.000            1.536e+00          -3.306e+01              88.703           1.535e+00             112.727           4.000e+01     
 127.000           0.000            1.586e+00          -3.313e+01              88.040           1.584e+00             112.706           4.000e+01     
 128.000           0.000            1.636e+00          -3.320e+01              87.392           1.634e+00             112.684           4.000e+01     
 129.000           0.000            1.686e+00          -3.328e+01              86.759           1.684e+00             112.660           4.000e+01     
 130.000           0.000            1.736e+00          -3.336e+01              86.141           1.735e+00             112.636           4.000e+01     
 131.000           0.000            1.786e+00          -3.345e+01              85.538           1.785e+00             112.610           4.000e+01     
 132.000           0.000            1.836e+00          -3.354e+01              84.951           1.835e+00             112.583           4.000e+01     
 133.000           0.000            1.887e+00          -3.363e+01              84.380           1.885e+00             112.555           4.000e+01     
 134.000           0.000            1.937e+00          -3.373e+01              83.824           1.935e+00             112.527           4.000e+01     
 135.000           0.000            1.987e+00          -3.384e+01              83.284           1.985e+00             112.498           4.000e+01     
 136.000           0.000            2.036e+00          -3.395e+01              82.761           2.035e+00             112.469           4.000e+01     
 137.000           0.000            2.086e+00          -3.407e+01              82.253           2.085e+00             112.439           4.000e+01     
 138.000           0.000            2.135e+00          -3.419e+01              81.761           2.134e+00             112.409           4.000e+01     
 139.000           0.000            2.183e+00          -3.432e+01              81.285           2.183e+00             112.379           4.000e+01     
 140.000           0.000            2.232e+00          -3.446e+01              80.826           2.231e+00             112.349           4.000e+01     
 141.000           0.000            2.280e+00          -3.461e+01              80.383           2.279e+00             112.319           4.000e+01     
 142.000           0.000            2.327e+00          -3.476e+01              79.957           2.326e+00             112.289           4.000e+01     
 143.000           0.000            2.374e+00          -3.493e+01              79.547           2.373e+00             112.260           4.000e+01     
 144.000           0.000            2.420e+00          -3.510e+01              79.154           2.419e+00             112.230           4.000e+01     
 145.000           0.000            2.465e+00          -3.528e+01              78.778           2.464e+00             112.201           4.000e+01     
 146.000           0.000            2.510e+00          -3.547e+01              78.419           2.509e+00             112.172           4.000e+01     
 147.000           0.000            2.554e+00          -3.567e+01              78.077           2.553e+00             112.143           4.000e+01     
 148.000           0.000            2.597e+00          -3.588e+01              77.752           2.596e+00             112.116           4.000e+01     
 149.000           0.000            2.639e+00          -3.611e+01              77.446           2.638e+00             112.088           4.000e+01     
 150.000           0.000            2.680e+00          -3.634e+01              77.157           2.680e+00             112.061           4.000e+01     
 151.000           0.000            2.720e+00          -3.660e+01              76.887           2.720e+00             112.035           4.000e+01     
 152.000           0.000            2.760e+00          -3.686e+01              76.637           2.759e+00             112.010           4.000e+01     
