Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
 148.000          90.000            3.204e+00           3.204e+00             298.729          -5.745e+01             333.348           4.000e+01     
 149.000          90.000            3.281e+00           3.281e+00             298.604          -5.774e+01             333.129           4.000e+01     
 150.000          90.000            3.354e+00           3.354e+00             298.477          -5.805e+01             332.873           4.000e+01     
 151.000          90.000            3.422e+00           3.422e+00             298.348          -5.839e+01             332.575           4.000e+01     
 152.000          90.000            3.485e+00           3.485e+00             298.216          -5.876e+01             332.229           4.000e+01     
 153.000          90.000            3.544e+00           3.544e+00             298.083          -5.915e+01             331.826           4.000e+01     
 154.000          90.000            3.598e+00           3.598e+00             297.947          -5.958e+01             331.355           4.000e+01     
 155.000          90.000            3.647e+00           3.647e+00             297.810          -6.005e+01             330.805           4.000e+01     
 156.000          90.000            3.692e+00           3.692e+00             297.669          -6.056e+01             330.157           4.000e+01     
 157.000          90.000            3.732e+00           3.732e+00             297.527          -6.112e+01             329.388           4.000e+01     
 158.000          90.000            3.768e+00           3.768e+00             297.381          -6.174e+01             328.469           4.000e+01     
 159.000          90.000            3.799e+00           3.799e+00             297.234          -6.242e+01             327.358           4.000e+01     
 160.000          90.000            3.826e+00           3.826e+00             297.083          -6.318e+01             325.996           4.000e+01     
 161.000          90.000            3.848e+00           3.848e+00             296.931          -6.402e+01             324.300           4.000e+01     
 162.000          90.000            3.866e+00           3.866e+00             296.775          -6.497e+01             322.143           4.000e+01     
 163.000          90.000            3.880e+00           3.880e+00             296.616          -6.605e+01             319.333           4.000e+01     
 164.000          90.000            3.889e+00           3.889e+00             296.455          -6.728e+01             315.559           4.000e+01     
 165.000          90.000            3.893e+00           3.893e+00             296.291          -6.869e+01             310.305           4.000e+01     
 166.000          90.000            3.893e+00           3.893e+00             296.124          -7.027e+01             302.692           4.000e+01     
 167.000          90.000            3.889e+00           3.889e+00             295.954          -7.197e+01             291.285           4.000e+01     
 168.000          90.000            3.881e+00           3.881e+00             295.781          -7.346e+01             274.324           4.000e+01     
 169.000          90.000            3.868e+00           3.868e+00             295.605          -7.408e+01             252.026           4.000e+01     
 170.000          90.000            3.850e+00           3.850e+00             295.426          -7.334e+01             229.651           4.000e+01     
 171.000          90.000            3.829e+00           3.829e+00             295.245          -7.170e+01             212.554           4.000e+01     
 172.000          90.000            3.803e+00           3.803e+00             295.059          -6.985e+01             201.041           4.000e+01     
