Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]     Abs(Theta)[dBi]    Phase(Theta)[deg.]     Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 142.000           0.000            2.488e+00          -3.219e+01              86.156           2.487e+00             113.533           4.000e+01     
 143.000           0.000            2.532e+00          -3.234e+01              85.856           2.531e+00             113.531           4.000e+01     
 144.000           0.000            2.576e+00          -3.251e+01              85.569           2.574e+00             113.529           4.000e+01     
 145.000           0.000            2.619e+00          -3.268e+01              85.296           2.617e+00             113.526           4.000e+01     
 146.000           0.000            2.661e+00          -3.286e+01              85.036           2.660e+00             113.524           4.000e+01     
 147.000           0.000            2.702e+00          -3.305e+01              84.790           2.701e+00             113.521           4.000e+01     
 148.000           0.000            2.743e+00          -3.325e+01              84.557           2.742e+00             113.518           4.000e+01     
 149.000           0.000            2.783e+00          -3.346e+01              84.340           2.781e+00             113.515           4.000e+01     
 150.000           0.000            2.821e+00          -3.368e+01              84.137           2.820e+00             113.512           4.000e+01     
 151.000           0.000            2.859e+00          -3.391e+01              83.949           2.858e+00             113.509           4.000e+01     
 152.000           0.000            2.896e+00          -3.416e+01              83.777           2.896e+00             113.506           4.000e+01     
 153.000           0.000            2.932e+00          -3.442e+01              83.621           2.932e+00             113.503           4.000e+01     
 154.000           0.000            2.968e+00          -3.469e+01              83.483           2.967e+00             113.500           4.000e+01     
 155.000           0.000            3.002e+00          -3.498e+01              83.362           3.001e+00             113.497           4.000e+01     
 156.000           0.000            3.034e+00          -3.528e+01              83.260           3.034e+00             113.494           4.000e+01     
 157.000           0.000            3.066e+00          -3.560e+01              83.178           3.066e+00             113.491           4.000e+01     
 158.000           0.000            3.097e+00          -3.594e+01              83.118           3.096e+00             113.488           4.000e+01     
 159.000           0.000            3.126e+00          -3.630e+01              83.081           3.126e+00             113.486           4.000e+01     
 160.000           0.000            3.155e+00          -3.668e+01              83.069           3.154e+00             113.483           4.000e+01     
 161.000           0.000            3.182e+00          -3.708e+01              83.085           3.181e+00             113.481           4.000e+01     
 162.000           0.000            3.208e+00          -3.751e+01              83.132           3.207e+00             113.479           4.000e+01     
 163.000           0.000            3.232e+00          -3.797e+01              83.213           3.232e+00             113.477           4.000e+01     
 164.000           0.000            3.256e+00          -3.847e+01              83.334           3.255e+00             113.475           4.000e+01     
 165.000           0.000            3.278e+00          -3.899e+01              83.499           3.277e+00             113.473           4.000e+01     
 166.000           0.000            3.298e+00          -3.956e+01              83.718           3.298e+00             113.471           4.000e+01     
 167.000           0.000            3.318e+00          -4.018e+01              84.000           3.317e+00             113.470           4.000e+01     
 168.000           0.000            3.336e+00          -4.085e+01              84.359           3.335e+00             113.469           4.000e+01     
 169.000           0.000            3.352e+00          -4.158e+01              84.813           3.352e+00             113.467           4.000e+01     
 170.000           0.000            3.367e+00          -4.239e+01              85.388           3.367e+00             113.466           4.000e+01     
 171.000           0.000            3.381e+00          -4.328e+01              86.122           3.381e+00             113.465           4.000e+01     
 172.000           0.000            3.394e+00          -4.429e+01              87.069           3.393e+00             113.465           4.000e+01     
 173.000           0.000            3.405e+00          -4.542e+01              88.318           3.404e+00             113.464           4.000e+01     
 174.000           0.000            3.414e+00          -4.673e+01              90.010           3.414e+00             113.463           4.000e+01     
 175.000           0.000            3.422e+00          -4.826e+01              92.397           3.422e+00             113.463           4.000e+01     
 176.000           0.000            3.429e+00          -5.010e+01              95.962           3.429e+00             113.463           4.000e+01     
 177.000           0.000            3.434e+00          -5.238e+01             101.744           3.434e+00             113.463           4.000e+01     
 178.000           0.000            3.437e+00          -5.525e+01             112.293           3.437e+00             113.463           4.000e+01     
 179.000           0.000            3.440e+00          -5.858e+01             134.303           3.440e+00             113.463           4.000e+01     
 180.000           0.000            3.440e+00          -6.005e+01             175.042           3.440e+00             113.464           4.000e+01     
 179.000         180.000            3.440e+00          -5.747e+01              30.078           3.440e+00             293.464           4.000e+01     
 178.000         180.000            3.437e+00          -5.422e+01              47.120           3.437e+00             293.465           4.000e+01     
 177.000         180.000            3.434e+00          -5.157e+01              55.656           3.434e+00             293.466           4.000e+01     
 176.000         180.000            3.429e+00          -4.946e+01              60.581           3.429e+00             293.467           4.000e+01     
 175.000         180.000            3.422e+00          -4.773e+01              63.755           3.422e+00             293.468           4.000e+01     
 174.000         180.000            3.414e+00          -4.628e+01              65.968           3.414e+00             293.470           4.000e+01     
 173.000         180.000            3.405e+00          -4.504e+01              67.606           3.404e+00             293.471           4.000e+01     
 172.000         180.000            3.394e+00          -4.396e+01              68.873           3.393e+00             293.473           4.000e+01     
 171.000         180.000            3.381e+00          -4.300e+01              69.891           3.381e+00             293.474           4.000e+01     
 170.000         180.000            3.367e+00          -4.214e+01              70.733           3.367e+00             293.476           4.000e+01     
 169.000         180.000            3.352e+00          -4.136e+01              71.449           3.352e+00             293.478           4.000e+01     
 168.000         180.000            3.336e+00          -4.065e+01              72.071           3.335e+00             293.481           4.000e+01     
 167.000         180.000            3.318e+00          -4.001e+01              72.623           3.318e+00             293.483           4.000e+01     
 166.000         180.000            3.298e+00          -3.941e+01              73.120           3.298e+00             293.485           4.000e+01     
 165.000         180.000            3.278e+00          -3.886e+01              73.576           3.277e+00             293.488           4.000e+01     
 164.000         180.000            3.256e+00          -3.834e+01              74.000           3.255e+00             293.491           4.000e+01     
 163.000         180.000            3.232e+00          -3.786e+01              74.399           3.232e+00             293.494           4.000e+01     
 162.000         180.000            3.208e+00          -3.742e+01              74.779           3.207e+00             293.497           4.000e+01     
 161.000         180.000            3.182e+00          -3.700e+01              75.144           3.182e+00             293.500           4.000e+01     
 160.000         180.000            3.155e+00          -3.660e+01              75.498           3.154e+00             293.503           4.000e+01     
 159.000         180.000            3.127e+00          -3.623e+01              75.844           3.126e+00             293.507           4.000e+01     
 158.000         180.000            3.097e+00          -3.589e+01              76.184           3.097e+00             293.510           4.000e+01     
 157.000         180.000            3.066e+00          -3.556e+01              76.521           3.066e+00             293.514           4.000e+01     
 156.000         180.000            3.035e+00          -3.525e+01              76.856           3.034e+00             293.518           4.000e+01     
 155.000         180.000            3.002e+00          -3.495e+01              77.191           3.001e+00             293.522           4.000e+01     
 154.000         180.000            2.968e+00          -3.467e+01              77.526           2.967e+00             293.526           4.000e+01     
 153.000         180.000            2.933e+00          -3.441e+01              77.864           2.932e+00             293.530           4.000e+01     
 152.000         180.000            2.897e+00          -3.416e+01              78.205           2.896e+00             293.534           4.000e+01     
 151.000         180.000            2.860e+00          -3.392e+01              78.550           2.859e+00             293.538           4.000e+01     
 150.000         180.000            2.822e+00          -3.369e+01              78.899           2.821e+00             293.542           4.000e+01     
 149.000         180.000            2.783e+00          -3.348e+01              79.254           2.782e+00             293.546           4.000e+01     
 148.000         180.000            2.743e+00          -3.328e+01              79.614           2.742e+00             293.550           4.000e+01     
 147.000         180.000            2.703e+00          -3.308e+01              79.981           2.702e+00             293.554           4.000e+01     
 146.000         180.000            2.661e+00          -3.290e+01              80.355           2.660e+00             293.557           4.000e+01     
 145.000         180.000            2.619e+00          -3.273e+01              80.736           2.618e+00             293.561           4.000e+01     
 144.000         180.000            2.577e+00          -3.256e+01              81.124           2.575e+00             293.564           4.000e+01     
 143.000         180.000            2.533e+00          -3.240e+01              81.521           2.532e+00             293.568           4.000e+01     
 142.000         180.000            2.489e+00          -3.225e+01              81.926           2.488e+00             293.571           4.000e+01     
 141.000         180.000            2.444e+00          -3.211e+01              82.340           2.443e+00             293.573           4.000e+01     
 140.000         180.000            2.399e+00          -3.197e+01              82.763           2.398e+00             293.575           4.000e+01     
 139.000         180.000            2.354e+00          -3.184e+01              83.195           2.352e+00             293.577           4.000e+01     
 138.000         180.000            2.308e+00          -3.172e+01              83.636           2.306e+00             293.579           4.000e+01     
 137.000         180.000            2.261e+00          -3.161e+01              84.088           2.259e+00             293.580           4.000e+01     
 136.000         180.000            2.214e+00          -3.150e+01              84.548           2.212e+00             293.580           3.999e+01     
 135.000         180.000            2.167e+00          -3.139e+01              85.019           2.165e+00             293.580           3.997e+01     
 134.000         180.000            2.120e+00          -3.129e+01              85.500           2.118e+00             293.578           3.996e+01     
 133.000         180.000            2.072e+00          -3.120e+01              85.991           2.070e+00             293.577           3.996e+01     
 132.000         180.000            2.024e+00          -3.111e+01              86.492           2.022e+00             293.574           3.997e+01     
 131.000         180.000            1.977e+00          -3.102e+01              87.004           1.974e+00             293.570           3.999e+01     
 130.000         180.000            1.929e+00          -3.094e+01              87.526           1.927e+00             293.565           4.000e+01     
 129.000         180.000            1.881e+00          -3.087e+01              88.059           1.879e+00             293.559           4.000e+01     
 128.000         180.000            1.833e+00          -3.080e+01              88.602           1.831e+00             293.552           4.000e+01     
 127.000         180.000            1.786e+00          -3.073e+01              89.155           1.783e+00             293.543           4.000e+01     
 126.000         180.000            1.738e+00          -3.066e+01              89.719           1.736e+00             293.533           4.000e+01     
 125.000         180.000            1.691e+00          -3.060e+01              90.293           1.688e+00             293.521           4.000e+01     
 124.000         180.000            1.644e+00          -3.055e+01              90.877           1.641e+00             293.508           4.000e+01     
 123.000         180.000            1.597e+00          -3.049e+01              91.472           1.594e+00             293.493           4.000e+01     
 122.000         180.000            1.551e+00          -3.044e+01              92.076           1.548e+00             293.476           4.000e+01     
 121.000         180.000            1.505e+00          -3.039e+01              92.691           1.502e+00             293.457           4.000e+01     
 120.000         180.000            1.459e+00          -3.035e+01              93.315           1.457e+00             293.436           4.000e+01     
 119.000         180.000            1.414e+00          -3.030e+01              93.949           1.412e+00             293.412           4.000e+01     
 118.000         180.000            1.370e+00          -3.026e+01              94.592           1.367e+00             293.386           4.000e+01     
